,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
670,77,TTS,1,TRUNK,43009,02099,10-11,11-12,11-14,10-15,
671,77,TTS,2,TRUNK,02099,43009,11-14,10-12,12-13,13-15,
672,78,TTS,1,TRUNK,28009,28009,06-08,06-15,07-08,11-15,Clementi Ave 3
673,78A,TTS,1,TRUNK,28009,29121,03-08,-,-,-,Tg Penjuru
674,79,TTS,1,TRUNK,28009,28009,06-10,08-18,08-12,15-17,Jurong West Ctrl 3
675,79A,TTS,1,TRUNK,28009,22009,-,-,-,15-15,
676,941,TTS,1,FEEDER,43009,43009,06-07,07-10,06-07,06-12,Bukit Batok West Avenue 9
677,945,TTS,1,FEEDER,43009,43009,06-09,07-10,06-07,06-15,Bt Batok St 34
678,947,TTS,1,FEEDER,43009,43009,05-09,08-09,06-08,06-09,Bt Batok Rd
679,96,TTS,1,TRUNK,17009,17009,06-07,05-13,05-07,05-10,Kent Ridge Cres
680,96A,TTS,1,TRUNK,17009,16169,08-10,03-09,-,-,
681,96B,TTS,1,TRUNK,17009,17171,-,06-19,05-19,-,
682,97,TTS,1,TRUNK,28009,02099,09-10,06-13,06-13,13-14,
683,97,TTS,2,TRUNK,02099,28009,10-11,07-14,09-10,13-13,
684,974,TTS,1,TRUNK,44029,24009,15-15,15-15,15-15,15-15,
685,974,TTS,2,TRUNK,24009,44031,15-15,15-15,15-15,15-15,
686,974A,TTS,1,TRUNK,44029,44539,-,-,-,08-15,
687,97e,TTS,1,EXPRESS,28009,02099,12-12,-,-,-,
688,97e,TTS,2,EXPRESS,02099,28009,-,-,12-12,-,
689,98,TTS,1,TRUNK,28009,28009,05-08,06-16,08-10,10-20,Jurong Pier Way
690,98A,TTS,1,TRUNK,28091,21179,-,-,06-10,10-20,
691,98B,TTS,1,TRUNK,28501,21099,05-09,-,-,-,
692,98M,TTS,1,TRUNK,28009,28009,-,14-18,-,14-18,Corporation Rd
693,990,TTS,1,TRUNK,43009,43009,12-12,12-12,12-12,12-13,Jurong Gateway Rd
694,225,SBST,1,FEEDER,84009,84009,03-05,03-13,03-06,04-12,Bedok North St 3
695,225,SBST,2,FEEDER,84009,84009,04-06,05-09,04-07,04-10,Bedok North St 3
696,243,SBST,1,FEEDER,22009,22009,05-06,03-06,04-04,04-08,Jurong West Ave 5
697,243,SBST,2,FEEDER,22009,22009,05-08,03-07,03-05,03-10,Jurong West Ave 5
698,410,SBST,1,FEEDER,53009,53009,05-06,05-10,04-05,04-12,Shunfu Road
699,410,SBST,2,FEEDER,53009,53009,05-06,05-12,06-06,06-14,Shunfu Road
700,533,SBST,1,FLAT FARE $4.20,28009,03011,10-10,-,-,-,
701,534,SBST,1,FLAT FARE $4.20,63219,03011,-,-,-,-,
702,535,SBST,1,FLAT FARE $4.20,52371,03011,-,-,-,-,
703,536,SBST,1,FLAT FARE $4.50,22009,03011,-,-,-,-,
704,538,SBST,1,FLAT FARE $4.50,77009,03011,10-10,-,-,-,
705,539,SBST,1,FLAT FARE $4.50,77009,03011,10-10,-,-,-,
706,552,SBST,1,FLAT FARE $4.50,75009,03011,-,-,-,-,
707,553,SBST,1,FLAT FARE $4.50,75009,03011,-,-,-,-,
708,560,SBST,1,FLAT FARE $4.20,12169,03011,05-05,-,-,-,
709,561,SBST,1,FLAT FARE $4.00,70059,03011,-,-,-,-,
710,563,SBST,1,FLAT FARE $4.20,42011,03011,-,-,-,-,
711,564,SBST,1,FLAT FARE $4.00,41119,03011,05-05,-,-,-,
712,565,SBST,1,FLAT FARE $4.00,52471,03011,-,-,-,-,
713,569,SBST,1,FLAT FARE $4.50,65009,03011,-,-,-,-,
714,585,SBST,1,FLAT FARE $4.20,82009,03011,10-10,-,-,-,
715,761,SBST,1,FLAT FARE $4.20,56251,03011,10-10,-,-,-,
716,529,SMRT,1,FLAT FARE $2.70,55509,55509,-,-,25,25,
717,530,SMRT,1,FLAT FARE $3.50,13051,03218,15,-,-,-,
718,531,SMRT,1,FLAT FARE $5.00,96129,03218,04-08,-,-,-,
719,531,SMRT,2,FLAT FARE $5.00,03222,96121,-,-,15,-,
720,546,SMRT,1,FLAT FARE $3.50,60221,03218,-,-,-,-,
721,587,SMRT,1,FLAT FARE $5.00,46861,03218,-,-,-,-,
722,588,SMRT,1,FLAT FARE $4.00,53369,03218,-,-,-,-,
723,589,SMRT,1,FLAT FARE $4.00,17429,03011,-,-,-,-,
724,590,SMRT,1,FLAT FARE $5.00,45421,03218,10,-,-,-,
725,598,SMRT,1,FLAT FARE $5.00,44859,03218,10,-,-,-,
726,599,SMRT,1,FLAT FARE $5.00,64449,03218,-,-,-,-,
727,3A,GAS,1,TRUNK,75009,77331,00-00,12-75,08-37,12-99,
728,36B,GAS,1,TRUNK,93049,93199,8-8,9-99,09-09,-,Tomlinson Rd
